Player,GamesCounted,First_Pitch_Swings,First_Pitch_InPlay,First_Pitch_XBH,xBA,Swing%,InPlay%,XBH%,BatterHand
"Abbott, Andrew",5,5,5,0,0.231,100.0,100.0,0.0,R
"Abel, Mick",5,4,4,0,0.312,80.0,80.0,0.0,R
"Abreu, Bryan",5,5,5,1,0.549,100.0,100.0,20.0,R
"Adam, Jason",5,5,5,0,0.195,100.0,100.0,0.0,L
"Agnos, Zach",5,5,5,2,0.536,100.0,100.0,40.0,R
"Akin, Keegan",5,5,5,1,0.4,100.0,100.0,20.0,R
"Alcala, Jorge",5,4,4,0,0.079,80.0,80.0,0.0,R
"Alcantara, Sandy",5,5,5,1,0.274,100.0,100.0,20.0,R
"Aldegheri, Sam",1,0,0,0,,0.0,0.0,0.0,R
"Alexander, Jason",5,5,5,2,0.423,100.0,100.0,40.0,L
"Alexander, Scott",5,5,5,0,0.345,100.0,100.0,0.0,L
"Alexander, Tyler",5,5,5,0,0.562,100.0,100.0,0.0,R
"Allard, Kolby",5,5,5,0,0.54,100.0,100.0,0.0,L
"Allen, Logan",5,5,5,0,0.125,100.0,100.0,0.0,R
"Altavilla, Dan",5,5,5,1,0.343,100.0,100.0,20.0,L
"Alvarado, Elvis",3,3,3,2,0.445,100.0,100.0,66.7,R
"Alvarado, José",5,5,5,1,0.788,100.0,100.0,20.0,R
"Amaya, Jacob",1,1,1,0,0.074,100.0,100.0,0.0,L
"Anderson, Grant",5,5,5,1,0.293,100.0,100.0,20.0,R
"Anderson, Ian",4,4,4,0,0.334,100.0,100.0,0.0,L
"Anderson, Justin",3,2,2,0,0.303,66.7,66.7,0.0,R
"Anderson, Shaun",5,5,5,1,0.519,100.0,100.0,20.0,R
"Anderson, Tyler",5,5,5,1,0.498,100.0,100.0,20.0,L
"Arias, Luarbert",4,4,4,0,0.551,100.0,100.0,0.0,L
"Armstrong, Sam",2,2,2,0,,100.0,100.0,0.0,L
"Armstrong, Shawn",5,5,5,0,0.373,100.0,100.0,0.0,L
"Arrighetti, Spencer",5,5,5,0,0.407,100.0,100.0,0.0,R
"Ashby, Aaron",4,3,3,0,0.259,75.0,75.0,0.0,R
"Ashcraft, Braxton",5,5,5,1,0.334,100.0,100.0,20.0,L
"Ashcraft, Graham",5,5,5,0,0.207,100.0,100.0,0.0,R
"Bachar, Lake",5,5,5,2,0.432,100.0,100.0,40.0,R
"Bachman, Sam",1,1,1,0,0.001,100.0,100.0,0.0,L
"Backhus, Kyle",2,2,2,0,0.276,100.0,100.0,0.0,R
"Baker, Bryan",5,5,5,2,0.587,100.0,100.0,40.0,L
"Banda, Anthony",5,5,5,0,0.317,100.0,100.0,0.0,R
"Banks, Tanner",5,5,5,2,0.516,100.0,100.0,40.0,L
"Barlow, Scott",5,5,5,0,0.124,100.0,100.0,0.0,L
"Barnes, Jacob",4,4,4,1,0.566,100.0,100.0,25.0,R
"Barnes, Zach",1,1,1,0,,100.0,100.0,0.0,R
"Barnhart, Tucker",5,5,5,1,0.352,100.0,100.0,20.0,R
"Bassitt, Chris",5,4,4,1,0.525,80.0,80.0,20.0,R
"Bauers, Jake",4,4,4,0,0.494,100.0,100.0,0.0,R
"Bautista, Félix",5,5,5,1,0.36,100.0,100.0,20.0,R
"Baz, Shane",5,4,4,0,0.499,80.0,80.0,0.0,R
"Bazardo, Eduard",5,5,5,0,0.395,100.0,100.0,0.0,R
"Bechtold, Andrew",1,1,1,0,,100.0,100.0,0.0,R
"Beck, Tristan",4,4,4,1,0.728,100.0,100.0,25.0,R
"Bednar, David",5,5,5,0,0.096,100.0,100.0,0.0,L
"Beeks, Jalen",5,5,5,2,0.444,100.0,100.0,40.0,R
"Bello, Brayan",5,5,5,0,0.298,100.0,100.0,0.0,L
"Bellozo, Valente",5,5,5,1,0.34,100.0,100.0,20.0,R
"Bender, Anthony",5,5,5,0,0.362,100.0,100.0,0.0,L
"Benjamin, Wes",1,1,1,0,0.489,100.0,100.0,0.0,L
"Bergert, Ryan",5,5,5,0,0.375,100.0,100.0,0.0,L
"Bernardino, Brennan",5,5,5,0,0.302,100.0,100.0,0.0,R
"Berríos, José",5,5,5,2,0.495,100.0,100.0,40.0,R
"Bibee, Tanner",5,5,5,0,0.314,100.0,100.0,0.0,R
"Bickford, Phil",3,3,3,1,,100.0,100.0,33.3,L
"Bido, Osvaldo",5,5,5,0,0.404,100.0,100.0,0.0,L
"Bielak, Brandon",1,1,1,0,0.011,100.0,100.0,0.0,R
"Bigge, Hunter",5,5,5,0,0.294,100.0,100.0,0.0,L
"Bird, Jake",5,5,5,1,0.434,100.0,100.0,20.0,R
"Birdsong, Hayden",5,5,5,0,0.144,100.0,100.0,0.0,L
"Bivens, Spencer",5,5,5,0,0.169,100.0,100.0,0.0,L
"Blackburn, Paul",5,5,5,1,0.586,100.0,100.0,20.0,L
"Blalock, Bradley",5,5,5,0,0.234,100.0,100.0,0.0,L
"Blanco, Ronel",5,5,5,0,0.179,100.0,100.0,0.0,R
"Blewett, Scott",5,5,5,0,0.41,100.0,100.0,0.0,R
"Bolton, Cody",2,2,2,0,0.343,100.0,100.0,0.0,R
"Booser, Cam",5,5,5,2,0.458,100.0,100.0,40.0,R
"Borucki, Ryan",5,5,5,1,0.277,100.0,100.0,20.0,R
"Boushley, Caleb",5,5,5,1,0.376,100.0,100.0,20.0,L
"Bowlan, Jonathan",5,5,5,1,0.374,100.0,100.0,20.0,R
"Bowman, Kaleb",2,2,2,2,0.93,100.0,100.0,100.0,R
"Bowman, Matt",5,5,5,0,0.363,100.0,100.0,0.0,L
"Boyd, Matthew",5,5,5,1,0.371,100.0,100.0,20.0,L
"Boyle, Joe",1,1,1,0,,100.0,100.0,0.0,L
"Bradley, Taj",5,5,5,1,0.299,100.0,100.0,20.0,L
"Brash, Matt",1,1,1,0,0.469,100.0,100.0,0.0,L
"Brasier, Ryan",4,4,4,0,0.229,100.0,100.0,0.0,L
"Brazobán, Huascar",5,5,5,0,0.326,100.0,100.0,0.0,R
"Brebbia, John",5,5,5,1,0.333,100.0,100.0,20.0,L
"Brewer, Colten",2,2,2,0,0.302,100.0,100.0,0.0,R
"Bride, Jonah",5,5,5,1,0.354,100.0,100.0,20.0,R
"Brieske, Beau",5,5,5,1,0.09,100.0,100.0,20.0,L
"Brigham, Jeff",5,5,5,0,0.475,100.0,100.0,0.0,L
"Brogdon, Connor",5,5,5,1,0.559,100.0,100.0,20.0,R
"Brown, Ben",5,5,5,0,0.342,100.0,100.0,0.0,R
"Brown, Hunter",5,4,4,1,0.367,80.0,80.0,20.0,R
"Bruihl, Justin",2,2,2,0,0.294,100.0,100.0,0.0,R
"Brzykcy, Zach",5,5,5,0,0.338,100.0,100.0,0.0,R
"Bubic, Kris",5,5,5,1,0.285,100.0,100.0,20.0,R
"Buehler, Walker",5,5,5,1,0.504,100.0,100.0,20.0,L
"Bummer, Aaron",5,5,5,0,0.109,100.0,100.0,0.0,R
"Burdi, Nick",3,3,3,1,0.411,100.0,100.0,33.3,R
"Burgos, Juan",1,0,0,0,,0.0,0.0,0.0,R
"Burke, Brock",5,5,5,1,0.257,100.0,100.0,20.0,L
"Burke, Sean",5,5,5,0,0.458,100.0,100.0,0.0,R
"Burleson, Alec",2,1,1,0,0.149,50.0,50.0,0.0,R
"Burnes, Corbin",5,4,4,2,0.583,80.0,80.0,40.0,L
"Burrows, Mike",5,4,4,0,0.057,80.0,80.0,0.0,R
"Buttó, José",5,5,5,1,0.529,100.0,100.0,20.0,R
"Cabrera, Edward",5,5,5,1,0.364,100.0,100.0,20.0,L
"Cabrera, Génesis",5,5,5,2,0.407,100.0,100.0,40.0,R
"Cameron, Noah",5,5,5,0,0.083,100.0,100.0,0.0,L
"Canning, Griffin",5,5,5,1,0.394,100.0,100.0,20.0,L
"Cannon, Jonathan",5,5,5,2,0.391,100.0,100.0,40.0,L
"Cano, Yennier",5,5,5,0,0.348,100.0,100.0,0.0,R
"Cantillo, Joey",5,5,5,1,0.729,100.0,100.0,20.0,L
"Capra, Vinny",3,3,3,0,0.297,100.0,100.0,0.0,R
"Carrasco, Carlos",5,5,5,0,0.422,100.0,100.0,0.0,L
"Casparius, Ben",5,5,5,0,0.176,100.0,100.0,0.0,R
"Castaño, Blas",4,3,3,1,0.369,75.0,75.0,25.0,L
"Castellano, Eiberson",1,1,1,0,0.771,100.0,100.0,0.0,L
"Castillo, José",5,4,4,0,0.42,80.0,80.0,0.0,L
"Castillo, Luis",5,5,5,1,0.187,100.0,100.0,20.0,R
"Castillo, Luis F.",5,5,5,0,0.596,100.0,100.0,0.0,R
"Castro, Kervin",1,1,1,0,0.611,100.0,100.0,0.0,L
"Castro, Miguel",3,2,2,0,0.584,66.7,66.7,0.0,R
"Cease, Dylan",5,5,5,0,0.449,100.0,100.0,0.0,L
"Cecconi, Slade",5,5,5,0,0.433,100.0,100.0,0.0,R
"Chafin, Andrew",5,5,5,0,0.241,100.0,100.0,0.0,L
"Chapman, Aroldis",5,5,5,0,0.246,100.0,100.0,0.0,R
"Chavez, Jesse",2,1,1,0,0.769,50.0,50.0,0.0,R
"Chivilli, Angel",5,5,5,0,0.284,100.0,100.0,0.0,R
"Church, Marc",4,4,4,1,0.598,100.0,100.0,25.0,R
"Civale, Aaron",5,5,5,1,0.257,100.0,100.0,20.0,R
"Clarke, Taylor",5,5,5,0,0.55,100.0,100.0,0.0,R
"Clase, Emmanuel",5,5,5,1,0.256,100.0,100.0,20.0,L
"Cleavinger, Garrett",5,4,4,0,0.93,80.0,80.0,0.0,L
"Clevinger, Mike",5,5,5,0,0.288,100.0,100.0,0.0,R
"Contreras, Luis",5,5,5,1,0.466,100.0,100.0,20.0,L
"Corbin, Patrick",5,5,5,1,0.484,100.0,100.0,20.0,L
"Cornielly, Joshua",1,1,1,0,0.157,100.0,100.0,0.0,L
"Cortes, Nestor",5,5,5,1,0.304,100.0,100.0,20.0,L
"Cosgrove, Tom",1,1,1,0,0.003,100.0,100.0,0.0,L
"Coulombe, Danny",5,5,5,0,0.375,100.0,100.0,0.0,L
"Craig, Luke",1,1,1,0,0.586,100.0,100.0,0.0,R
"Crismatt, Nabil",1,1,1,0,,100.0,100.0,0.0,R
"Criswell, Cooper",5,5,5,1,0.196,100.0,100.0,20.0,R
"Crochet, Garrett",5,5,5,2,0.562,100.0,100.0,40.0,R
"Cruz, Fernando",5,5,5,1,0.225,100.0,100.0,20.0,L
"Cruz, Omar",1,1,1,0,0.463,100.0,100.0,0.0,R
"Cruz, Steven",5,5,5,0,0.186,100.0,100.0,0.0,R
"Cuevas, Michael",1,1,1,1,,100.0,100.0,100.0,R
"Curry, Xzavion",5,5,5,0,0.115,100.0,100.0,0.0,R
"Dalquist, Andrew",1,1,1,0,0.057,100.0,100.0,0.0,L
"Dana, Caden",3,3,3,0,0.391,100.0,100.0,0.0,L
"Daniel, Davis",1,0,0,0,,0.0,0.0,0.0,R
"Darrell-Hicks, Michael",5,5,5,0,0.46,100.0,100.0,0.0,R
"Davis, Noah",1,1,1,0,0.563,100.0,100.0,0.0,L
"De Los Santos, Enyel",5,5,5,0,0.274,100.0,100.0,0.0,R
"De los Santos, Yerry",5,5,5,0,0.401,100.0,100.0,0.0,L
"DeSclafani, Anthony",4,4,4,1,0.272,100.0,100.0,25.0,R
"Detmers, Reid",5,5,5,1,0.564,100.0,100.0,20.0,L
"Diaz, Indigo",2,2,2,1,,100.0,100.0,50.0,L
"Dobbins, Hunter",5,5,5,0,0.214,100.0,100.0,0.0,R
"Dobnak, Randy",1,1,1,0,0.094,100.0,100.0,0.0,L
"Dodd, Dylan",2,2,2,0,0.119,100.0,100.0,0.0,L
"Dollander, Chase",5,5,5,1,0.395,100.0,100.0,20.0,R
"Domínguez, Seranthony",5,5,5,1,0.134,100.0,100.0,20.0,R
"Doval, Camilo",5,5,5,0,0.334,100.0,100.0,0.0,L
"Dreyer, Jack",5,5,5,0,0.08,100.0,100.0,0.0,R
"Dubin, Shawn",5,5,5,0,0.453,100.0,100.0,0.0,R
"Dunning, Dane",3,3,3,0,0.388,100.0,100.0,0.0,L
"Duran, Ezequiel",2,2,2,0,0.448,100.0,100.0,0.0,L
"Duran, Jhoan",5,5,5,1,0.187,100.0,100.0,20.0,L
"Díaz, Alexis",5,5,5,2,0.536,100.0,100.0,40.0,R
"Díaz, Edwin",5,5,5,0,0.249,100.0,100.0,0.0,L
"Díaz, Yilber",1,1,1,0,0.406,100.0,100.0,0.0,L
"Eder, Jake",1,1,1,0,0.003,100.0,100.0,0.0,R
"Edwards Jr., Carl",1,1,1,0,0.117,100.0,100.0,0.0,R
"Effross, Scott",3,3,3,0,0.19,100.0,100.0,0.0,L
"Eflin, Zach",5,5,5,3,0.579,100.0,100.0,60.0,L
"Eisert, Brandon",5,4,4,0,0.3,80.0,80.0,0.0,R
"Elder, Bryce",5,5,5,0,0.4,100.0,100.0,0.0,R
"Ellard, Fraser",5,4,4,1,0.476,80.0,80.0,20.0,R
"Englert, Mason",5,5,5,0,0.38,100.0,100.0,0.0,L
"Enright, Nic",3,3,3,0,0.046,100.0,100.0,0.0,L
"Eovaldi, Nathan",5,5,5,2,0.381,100.0,100.0,40.0,R
"Erceg, Lucas",5,5,5,1,0.429,100.0,100.0,20.0,L
"Estes, Joey",5,5,5,2,0.205,100.0,100.0,40.0,L
"Estrada, Jeremiah",5,5,5,0,0.243,100.0,100.0,0.0,R
"Estévez, Carlos",5,5,5,0,0.25,100.0,100.0,0.0,R
"Evans, Logan",5,5,5,1,0.331,100.0,100.0,20.0,R
"Fairbanks, Pete",5,5,5,0,0.176,100.0,100.0,0.0,R
"Falter, Bailey",5,5,5,0,0.27,100.0,100.0,0.0,R
"Faucher, Calvin",5,4,4,0,0.408,80.0,80.0,0.0,L
"Fedde, Erick",5,5,5,0,0.144,100.0,100.0,0.0,L
"Feltner, Ryan",5,5,5,1,0.172,100.0,100.0,20.0,L
"Ferguson, Caleb",5,5,5,0,0.619,100.0,100.0,0.0,R
"Ferguson, Tyler",5,5,5,0,0.338,100.0,100.0,0.0,R
"Fermin, José",3,2,2,1,0.256,66.7,66.7,33.3,L
"Fernandez, Ryan",5,5,5,0,0.284,100.0,100.0,0.0,R
"Ferrer, Jose A.",5,4,4,0,0.449,80.0,80.0,0.0,R
"Ferris, Jackson",2,2,2,1,0.426,100.0,100.0,50.0,L
"Festa, David",5,5,5,2,0.129,100.0,100.0,40.0,R
"Festa, Matt",5,5,5,1,0.288,100.0,100.0,20.0,L
"Feyereisen, J.P.",5,5,5,0,0.539,100.0,100.0,0.0,R
"Finnegan, Kyle",5,5,5,0,0.262,100.0,100.0,0.0,R
"Fisher, Braydon",4,4,4,1,0.379,100.0,100.0,25.0,R
"Fitts, Richard",5,4,4,1,0.5,80.0,80.0,20.0,R
"Flaherty, Jack",5,5,5,2,0.345,100.0,100.0,40.0,L
"Flexen, Chris",5,5,5,0,0.262,100.0,100.0,0.0,R
"Fluharty, Mason",5,5,4,0,0.321,100.0,80.0,0.0,R
"Foley, Jason",1,1,1,0,,100.0,100.0,0.0,L
"Fox, Phil",1,1,1,0,0.066,100.0,100.0,0.0,L
"Francis, Bowden",5,5,5,0,0.357,100.0,100.0,0.0,L
"Freeland, Kyle",5,5,5,0,0.415,100.0,100.0,0.0,R
"Freeman, Caleb",1,1,1,0,0.277,100.0,100.0,0.0,R
"Fried, Max",5,5,5,1,0.421,100.0,100.0,20.0,R
"Fuentes, Didier",3,2,2,2,0.608,66.7,66.7,66.7,L
"Fujinami, Shintaro",2,1,1,1,0.149,50.0,50.0,50.0,L
"Fulmer, Michael",2,2,2,0,0.573,100.0,100.0,0.0,L
"Funderburk, Kody",5,5,5,1,0.429,100.0,100.0,20.0,R
"Gaddis, Hunter",5,5,5,0,0.362,100.0,100.0,0.0,L
"Gage, Matt",3,3,3,0,0.324,100.0,100.0,0.0,L
"Gallen, Zac",5,5,5,1,0.467,100.0,100.0,20.0,L
"Garabito, Gerson",5,5,5,0,0.306,100.0,100.0,0.0,R
"Garcia, Robert",5,5,5,4,0.449,100.0,100.0,80.0,L
"García, Luis",5,5,5,0,0.222,100.0,100.0,0.0,L
"García, Yimi",5,5,5,0,0.367,100.0,100.0,0.0,R
"Garrett, Reed",5,5,5,0,0.232,100.0,100.0,0.0,L
"Garza, Justin",4,4,4,1,0.74,100.0,100.0,25.0,R
"Gastelum, Luis",2,2,2,0,0.146,100.0,100.0,0.0,R
"Gausman, Kevin",5,5,5,2,0.277,100.0,100.0,40.0,L
"Gibaut, Ian",5,5,5,0,0.303,100.0,100.0,0.0,L
"Gibson, Cade",5,5,5,0,0.435,100.0,100.0,0.0,L
"Gibson, Kyle",5,5,5,1,0.359,100.0,100.0,20.0,R
"Gilbert, Logan",5,5,5,0,0.145,100.0,100.0,0.0,L
"Gilbert, Tyler",5,5,5,1,0.334,100.0,100.0,20.0,R
"Gillaspie, Logan",5,4,4,0,0.23,80.0,80.0,0.0,R
"Gillispie, Connor",5,5,5,1,0.534,100.0,100.0,20.0,L
"Ginkel, Kevin",5,5,5,1,0.377,100.0,100.0,20.0,L
"Ginn, J.T.",5,5,5,1,0.46,100.0,100.0,20.0,R
"Giolito, Lucas",5,5,5,1,0.508,100.0,100.0,20.0,L
"Gipson-Long, Sawyer",4,4,4,1,0.122,100.0,100.0,25.0,L
"Glasnow, Tyler",5,5,5,1,0.42,100.0,100.0,20.0,R
"Gomber, Austin",5,5,5,2,0.657,100.0,100.0,40.0,R
"Gonsolin, Tony",5,5,5,1,0.344,100.0,100.0,20.0,L
"Gordon, Colton",5,5,5,2,0.468,100.0,100.0,40.0,R
"Gordon, Tanner",5,5,5,0,0.134,100.0,100.0,0.0,L
"Gore, MacKenzie",5,5,5,1,0.32,100.0,100.0,20.0,R
"Graceffo, Gordon",5,5,5,0,0.4,100.0,100.0,0.0,R
"Grammes, Conor",1,1,1,0,,100.0,100.0,0.0,L
"Granillo, Andre",2,2,2,0,0.5,100.0,100.0,0.0,R
"Graveman, Kendall",4,3,3,1,0.194,75.0,75.0,25.0,L
"Gray, Sonny",5,5,5,1,0.317,100.0,100.0,20.0,R
"Green, Chad",5,5,5,1,0.321,100.0,100.0,20.0,R
"Greene, Hunter",5,5,5,0,0.399,100.0,100.0,0.0,L
"Guenther, Sean",5,5,5,0,0.27,100.0,100.0,0.0,L
"Guerrero, Luis",5,5,5,0,0.223,100.0,100.0,0.0,L
